,Influencer,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Total
64,The Beatles,1,615,2802,3744,4062,4258,4438,4531,4567,4599,4623,2002.53125
2,Bob Dylan,1,389,2325,3818,4291,4474,4577,4613,4630,4631,4631,1803.73046875
233,Chuck Berry,1,160,1985,3910,4405,4557,4634,4660,4668,4669,4669,1627.00390625
368,James Brown,1,155,1808,3937,4402,4535,4593,4622,4630,4631,4631,1581.51953125
234,Elvis Presley,1,167,1975,3632,4162,4415,4533,4598,4619,4630,4631,1571.224609375
131,The Rolling Stones,1,319,2041,3273,3674,3988,4235,4429,4526,4567,4599,1568.48046875
236,Little Richard,1,89,1908,3898,4340,4516,4602,4630,4641,4642,4642,1564.46484375
54,Jimi Hendrix,1,202,1778,3598,4168,4412,4525,4566,4598,4623,4630,1535.033203125
672,Hank Williams,1,185,1425,3447,4316,4517,4610,4660,4677,4683,4684,1434.533203125
306,Ray Charles,1,114,1340,3785,4431,4567,4650,4680,4690,4690,4690,1429.640625
1045,Buddy Holly,1,98,1670,3453,4068,4349,4495,4585,4615,4630,4631,1429.451171875
646,Muddy Waters,1,114,1286,3715,4531,4718,4790,4840,4864,4875,4876,1423.201171875
352,Bo Diddley,1,66,1503,3658,4205,4404,4537,4601,4615,4623,4631,1408.375
324,Smokey Robinson,1,85,1512,3582,4087,4336,4489,4579,4613,4630,4631,1400.208984375
109,Miles Davis,1,161,1239,3580,4366,4516,4565,4598,4623,4630,4631,1394.146484375
480,Sam Cooke,1,129,1275,3632,4276,4470,4580,4622,4640,4642,4642,1387.1171875
291,Billie Holiday,1,107,1028,3564,4659,4810,4859,4875,4876,4877,4877,1348.60546875
1634,Little Willie John,1,15,1142,3715,4426,4569,4650,4676,4683,4684,4684,1321.55859375
867,Howlin' Wolf,1,100,1141,3427,4325,4516,4622,4673,4687,4693,4694,1319.431640625
1156,Nat King Cole,1,66,1000,3627,4546,4651,4695,4728,4741,4742,4742,1312.18359375
253,John Coltrane,1,119,1159,3319,4129,4371,4500,4563,4590,4613,4624,1299.712890625
882,Louis Jordan,1,54,901,3676,4645,4744,4767,4769,4771,4771,4771,1298.328125
98,The Beach Boys,1,187,1472,2967,3479,3764,4053,4270,4433,4530,4567,1298.208984375
866,Jimmy Reed,1,56,1137,3457,4288,4484,4590,4622,4630,4631,4631,1295.50390625
1132,Fats Domino,1,52,1179,3429,4160,4409,4548,4638,4672,4688,4697,1290.033203125
628,The Isley Brothers,1,47,1244,3449,4033,4240,4430,4525,4566,4598,4623,1289.603515625
1206,Woody Guthrie,1,81,1114,3287,4230,4530,4621,4688,4706,4712,4713,1280.431640625
159,Jerry Lee Lewis,1,54,1201,3247,4000,4300,4454,4569,4608,4621,4631,1257.859375
193,Marvin Gaye,1,170,1166,3034,3748,3982,4180,4325,4472,4540,4568,1247.796875
182,The Kinks,1,193,1475,2784,3179,3503,3791,4020,4212,4343,4473,1244.71875
870,Jackie Wilson,1,55,944,3455,4253,4453,4569,4611,4629,4631,4631,1242.9296875
1277,Hank Snow,1,20,979,3280,4335,4536,4622,4672,4689,4695,4695,1221.8125
465,The Band,1,83,1199,3050,3758,4077,4272,4445,4533,4568,4599,1220.869140625
554,The Byrds,1,159,1164,2868,3656,4019,4257,4430,4527,4567,4599,1218.8046875
372,Otis Redding,1,100,991,3111,4017,4284,4446,4545,4589,4613,4629,1211.515625
308,John Lee Hooker,1,63,931,3222,4163,4452,4581,4653,4671,4673,4673,1209.7421875
1092,Willie Dixon,1,38,904,3156,4287,4589,4734,4790,4840,4864,4875,1199.162109375
1181,The Everly Brothers,1,54,1137,3083,3809,4094,4281,4447,4532,4568,4599,1198.865234375
1134,Carl Perkins,1,52,1014,3163,3968,4248,4402,4526,4599,4616,4624,1194.77734375
183,The Who,1,150,1443,2564,3198,3597,3881,4128,4296,4454,4534,1194.7578125
1135,Eddie Cochran,1,44,1056,3131,3910,4220,4380,4519,4595,4612,4621,1192.349609375
863,T-Bone Walker,1,49,668,3352,4569,4723,4770,4780,4782,4782,4782,1191.890625
1637,King Curtis,1,17,960,3351,4038,4243,4431,4527,4568,4600,4625,1191.806640625
128,The Yardbirds,1,106,1107,2815,3812,4203,4426,4531,4567,4599,4623,1190.625
255,Ravi Shankar,1,22,1006,3218,4009,4249,4392,4503,4566,4593,4616,1186.720703125
1444,Bill Monroe,1,60,935,3028,4151,4485,4598,4650,4667,4674,4675,1185.505859375
123,Elmore James,1,52,818,3189,4309,4531,4635,4665,4672,4673,4673,1184.40234375
331,The Drifters,1,48,833,3175,4205,4432,4548,4602,4626,4630,4631,1172.611328125
1422,Roy Orbison,1,48,1088,3010,3768,4080,4273,4446,4532,4568,4599,1171.357421875
1217,Roy Brown,1,35,694,3323,4408,4586,4679,4702,4707,4707,4707,1170.8046875
1619,Percy Mayfield,1,23,818,3232,4250,4469,4575,4632,4646,4647,4647,1168.25390625
293,Dizzy Gillespie,1,62,686,3134,4510,4665,4700,4717,4728,4739,4750,1168.197265625
1136,Gene Vincent,1,37,976,3087,3920,4226,4386,4520,4594,4611,4620,1164.255859375
166,Johnny Cash,1,113,917,2839,3922,4344,4497,4588,4621,4637,4638,1162.775390625
292,Billy Eckstine,1,34,663,3150,4592,4756,4778,4780,4780,4780,4780,1160.46875
611,Carole King,1,55,992,3053,3779,4070,4265,4444,4532,4568,4599,1156.466796875
342,The Supremes,1,34,966,3135,3804,4074,4263,4439,4531,4567,4599,1151.328125
322,The Shadows,1,23,976,3053,3829,4096,4273,4445,4532,4568,4599,1140.537109375
1083,Pete Seeger,1,48,852,3008,3960,4352,4505,4597,4631,4648,4649,1138.052734375
776,Sly & the Family Stone,1,68,807,2928,4116,4398,4518,4565,4598,4623,4630,1137.728515625
2087,Rufus Thomas,1,24,743,3189,4133,4370,4525,4608,4629,4631,4631,1133.125
1268,The Mills Brothers,1,36,510,3221,4548,4732,4816,4845,4856,4870,4875,1130.353515625
626,Solomon Burke,1,27,809,3066,4077,4326,4477,4552,4590,4613,4629,1129.49609375
932,Buck Owens,1,43,938,2972,3767,4085,4277,4449,4533,4569,4599,1126.79296875
332,Curtis Mayfield,1,74,804,2898,3998,4301,4485,4578,4605,4619,4630,1125.427734375
